epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.591,0.39173,0.99775,1,0.00815,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048
2,218.354,0.06447,0.99925,1,0.00263,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187
3,323.642,0.04049,0.9985,1,0.00421,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126
4,427.574,0.0428,0.99625,1,0.00942,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,531.441,0.03146,0.99925,1,0.00271,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,634.861,0.03039,0.99775,1,0.00604,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,738.157,0.0242,0.99925,1,0.00114,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,841.708,0.02451,1,1,0.0007,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,944.768,0.02114,0.99925,1,0.00085,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1048.3,0.02054,1,1,7e-05,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1151.24,0.02385,1,1,8e-05,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1254.72,0.01587,1,1,0.00101,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1357.57,0.01761,1,1,0.00012,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1460.62,0.0168,0.99925,1,0.00083,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1563.82,0.01515,0.99925,1,0.00118,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1666.33,0.01586,1,1,0.00022,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1770.31,0.01435,1,1,0.00041,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1872.73,0.01567,1,1,0.00046,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1975.94,0.01612,1,1,0.00018,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2078.43,0.01427,1,1,0.00022,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2181.43,0.01417,1,1,0.00021,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2284.47,0.01262,0.99925,1,0.00055,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2387.49,0.01125,0.99925,1,0.00084,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2490.53,0.01386,1,1,0.00026,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2593.36,0.01106,1,1,0.0001,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2696.59,0.01105,1,1,9e-05,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2799.56,0.00881,1,1,4e-05,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,2902.09,0.00916,1,1,3e-05,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,3005.43,0.01063,1,1,3e-05,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,3108.08,0.00706,1,1,3e-05,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,3211.11,0.00918,1,1,3e-05,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,3313.61,0.00702,1,1,2e-05,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3416.31,0.00655,1,1,2e-05,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3518.24,0.00728,1,1,2e-05,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3620.67,0.00595,1,1,2e-05,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3723.19,0.01079,1,1,2e-05,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3825.31,0.00598,1,1,2e-05,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,3927.5,0.00522,1,1,2e-05,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4029.32,0.0051,1,1,2e-05,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4131.49,0.0034,1,1,2e-05,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,4261.43,0.00407,1,1,1e-05,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4363.72,0.00459,1,1,1e-05,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,4465.58,0.00265,1,1,1e-05,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,4567,0.00264,1,1,1e-05,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4669.07,0.00236,1,1,1e-05,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,4770.45,0.0026,1,1,1e-05,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,4872.28,0.00342,1,1,1e-05,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
