epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,110.154,0.39173,0.99775,1,0.00815,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048
2,218.666,0.06447,0.99925,1,0.00263,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187
3,323.549,0.04049,0.9985,1,0.00421,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126
4,427.202,0.0428,0.99625,1,0.00942,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,530.963,0.03146,0.99925,1,0.00271,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,633.942,0.03039,0.99775,1,0.00604,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,737.666,0.0242,0.99925,1,0.00114,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,840.741,0.02451,1,1,0.0007,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,943.631,0.02114,0.99925,1,0.00085,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1047.26,0.02054,1,1,7e-05,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1150.31,0.02385,1,1,8e-05,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1253.75,0.01587,1,1,0.00101,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1356.95,0.01761,1,1,0.00012,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1460.39,0.0168,0.99925,1,0.00083,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1563.37,0.01515,0.99925,1,0.00118,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1666.24,0.01586,1,1,0.00022,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1769.44,0.01435,1,1,0.00041,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1872.16,0.01567,1,1,0.00046,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1975.57,0.01612,1,1,0.00018,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2078.1,0.01427,1,1,0.00022,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2205.21,0.01417,1,1,0.00021,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2348.31,0.01262,0.99925,1,0.00055,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2451.91,0.01125,0.99925,1,0.00084,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2567.87,0.01386,1,1,0.00026,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2677.64,0.01106,1,1,0.0001,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2780.51,0.01105,1,1,9e-05,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2883.79,0.00881,1,1,4e-05,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,2986.72,0.00916,1,1,3e-05,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,3089.82,0.01063,1,1,3e-05,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,3193.15,0.00706,1,1,3e-05,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
