nombre,accuracy,precision,recall,f1,tiempo_ms,tamanio_mb,epochs,lr,dropout,activacion,capas,seed
ep50_lr0.01_drop0.5_GELU_256-128,0.9985029940119761,0.998506112774451,0.9985029940119761,0.9985035424420421,0.019511306096637065,0.6226968765258789,50,0.01,0.5,GELU,256-128,1344
ep30_lr0.001_drop0.3_ReLU_512-256-128,1.0,1.0,1.0,1.0,0.013659851891653876,1.2506637573242188,30,0.001,0.3,ReLU,512-256-128,1386
ep30_lr0.001_drop0.3_GELU_512-256-128,0.999251497005988,0.9992564539794583,0.999251497005988,0.999251427203296,0.017083712986537387,1.2506637573242188,30,0.001,0.3,GELU,512-256-128,1428
ep50_lr0.001_drop0.3_ReLU_512-256-128,1.0,1.0,1.0,1.0,0.01426611627851214,1.2506637573242188,50,0.001,0.3,ReLU,512-256-128,1470
ep50_lr0.001_drop0.3_GELU_512-256-128,1.0,1.0,1.0,1.0,0.01370223741682749,1.2506637573242188,50,0.001,0.3,GELU,512-256-128,1512
ep30_lr0.01_drop0.3_ReLU_512-256-128,1.0,1.0,1.0,1.0,0.01069801194327218,1.2506303787231445,30,0.01,0.3,ReLU,512-256-128,1554
ep30_lr0.01_drop0.3_GELU_512-256-128,0.999251497005988,0.9992546157684631,0.999251497005988,0.9992509651612059,0.01269940346006363,1.2506303787231445,30,0.01,0.3,GELU,512-256-128,1596
ep50_lr0.01_drop0.3_ReLU_512-256-128,1.0,1.0,1.0,1.0,0.01414384160723005,1.2506303787231445,50,0.01,0.3,ReLU,512-256-128,1638
ep50_lr0.01_drop0.3_GELU_512-256-128,1.0,1.0,1.0,1.0,0.014712545606825085,1.2506303787231445,50,0.01,0.3,GELU,512-256-128,1680
ep30_lr0.001_drop0.5_ReLU_512-256-128,1.0,1.0,1.0,1.0,0.01466664056929331,1.2506637573242188,30,0.001,0.5,ReLU,512-256-128,1722
ep30_lr0.001_drop0.5_GELU_512-256-128,0.9977544910179641,0.9977800963498898,0.9977544910179641,0.9977588337093525,0.01759826190887935,1.2506637573242188,30,0.001,0.5,GELU,512-256-128,1764
ep50_lr0.001_drop0.5_ReLU_512-256-128,0.999251497005988,0.9992546157684631,0.999251497005988,0.9992509651612059,0.0213849733746241,1.2506637573242188,50,0.001,0.5,ReLU,512-256-128,1806
ep50_lr0.001_drop0.5_GELU_512-256-128,1.0,1.0,1.0,1.0,0.003912959780011859,1.2506637573242188,50,0.001,0.5,GELU,512-256-128,1848
ep30_lr0.01_drop0.5_ReLU_512-256-128,0.9985029940119761,0.9985067086670332,0.9985029940119761,0.998501358988965,0.014647964447263684,1.2506303787231445,30,0.01,0.5,ReLU,512-256-128,1890
ep30_lr0.01_drop0.5_GELU_512-256-128,0.9985029940119761,0.9985079509854463,0.9985029940119761,0.9985040044841321,0.0402001729087224,1.2506303787231445,30,0.01,0.5,GELU,512-256-128,1932
ep50_lr0.01_drop0.5_ReLU_512-256-128,0.999251497005988,0.9992564539794583,0.999251497005988,0.999251427203296,0.009477819715227398,1.2506303787231445,50,0.01,0.5,ReLU,512-256-128,1974
ep50_lr0.01_drop0.5_GELU_512-256-128,0.999251497005988,0.9992546157684631,0.999251497005988,0.9992509651612059,0.02691285950796945,1.2506303787231445,50,0.01,0.5,GELU,512-256-128,2016
