epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,128.946,0.37585,0.997,1,0.00861,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048
2,259.113,0.0568,0.99925,1,0.00256,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187
3,391.1,0.04055,0.9985,1,0.00239,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126
4,496.299,0.03792,0.99925,1,0.0038,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,601.804,0.03035,1,1,0.00048,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,707.487,0.02917,1,1,0.00121,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,812.012,0.02299,0.99925,1,0.00159,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,917.275,0.01887,0.99925,1,0.00153,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1021.73,0.0189,1,1,0.00017,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1127,0.01758,1,1,0.00024,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1231.43,0.02044,1,1,0.00046,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1335.74,0.01452,1,1,5e-05,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1439.54,0.01789,0.99925,1,0.00144,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1543.63,0.01459,0.99925,1,0.0048,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1647.96,0.01542,0.99925,1,0.00081,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1752.22,0.01568,1,1,0.00019,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1856.63,0.01603,1,1,0.00013,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1959.88,0.01542,1,1,0.00015,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,2064.27,0.01372,1,1,0.00022,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2167.78,0.01178,1,1,0.00024,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2271.68,0.01334,1,1,0.00026,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2375.58,0.01409,1,1,5e-05,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
23,2478.64,0.01219,1,1,7e-05,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
24,2582.71,0.01242,1,1,4e-05,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
25,2686.17,0.01033,1,1,3e-05,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
26,2790.5,0.01042,1,1,3e-05,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
27,2893.9,0.00872,1,1,2e-05,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
28,2997.72,0.01066,1,1,1e-05,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
29,3101.05,0.00894,1,1,1e-05,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
30,3203.87,0.00812,1,1,2e-05,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
31,3307.37,0.00736,1,1,2e-05,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
32,3410.6,0.00833,1,1,2e-05,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,3513.77,0.00752,1,1,2e-05,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,3616.74,0.00642,1,1,2e-05,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,3719.7,0.00665,1,1,3e-05,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,3822.5,0.00714,1,1,3e-05,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,3924.71,0.0046,1,1,3e-05,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,4027.69,0.00434,1,1,2e-05,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,4129.81,0.00363,1,1,2e-05,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,4233.15,0.00454,1,1,1e-05,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,4371.59,0.00416,1,1,1e-05,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,4474.02,0.0034,1,1,1e-05,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,4575.59,0.00314,1,1,1e-05,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,4677.63,0.00309,1,1,0,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,4779.8,0.00243,1,1,0,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,4881.76,0.00217,1,1,0,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,4984.44,0.0023,1,1,0,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,5085.96,0.00232,1,1,0,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,5188.01,0.00211,1,1,0,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,5289.93,0.0012,1,1,0,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
