epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,86.059,0.37585,0.997,1,0.00861,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048
2,183.495,0.0568,0.99925,1,0.00256,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187,0.0195956,0.00653187
3,263.911,0.04055,0.9985,1,0.00239,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126,0.0288038,0.00960126
4,341.524,0.03792,0.99925,1,0.0038,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,404.4,0.03035,1,1,0.00048,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,511.37,0.02917,1,1,0.00121,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,630.298,0.02299,0.99925,1,0.00159,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,740.254,0.01887,0.99925,1,0.00153,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,847.231,0.0189,1,1,0.00017,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,953.677,0.01758,1,1,0.00024,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,1059.75,0.02044,1,1,0.00046,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,1165.38,0.01452,1,1,5e-05,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,1270.91,0.01789,0.99925,1,0.00144,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,1375.86,0.01459,0.99925,1,0.0048,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,1480.62,0.01542,0.99925,1,0.00081,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,1585.81,0.01568,1,1,0.00019,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,1690.92,0.01603,1,1,0.00013,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,1795.89,0.01542,1,1,0.00015,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
19,1901.85,0.01372,1,1,0.00022,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
20,2007.21,0.01178,1,1,0.00024,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
21,2113.49,0.01334,1,1,0.00026,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
22,2218.44,0.01409,1,1,5e-05,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
