epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,109.685,0.39173,0.99775,1,0.00815,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048,0.00999145,0.00333048
2,216.479,0.06436,0.99925,1,0.00265,0.0197935,0.00659784,0.0197935,0.00659784,0.0197935,0.00659784,0.0197935,0.00659784
3,319.814,0.04257,0.99475,1,0.01316,0.0293976,0.00979921,0.0293976,0.00979921,0.0293976,0.00979921,0.0293976,0.00979921
4,422.826,0.04652,1,1,0.00155,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,525.122,0.03578,0.99925,1,0.00152,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,627.04,0.02935,0.99625,1,0.00554,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,729.143,0.02835,0.99925,1,0.00088,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,831.719,0.02249,1,1,0.00075,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,933.87,0.02167,0.99925,1,0.00119,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1037.04,0.02548,1,1,0.00025,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1139.36,0.02435,0.99925,1,0.00095,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1241.98,0.02073,0.99925,1,0.00113,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,1344.58,0.02229,1,1,0.00014,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1447.13,0.02198,0.99925,1,0.00153,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1549.73,0.02135,0.99925,1,0.0026,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1652.06,0.02164,0.99925,1,0.00172,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1754.72,0.022,0.99925,1,0.00135,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1856.54,0.02041,1,1,0.00022,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1959.18,0.01889,1,1,7e-05,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,2061.5,0.01934,1,1,5e-05,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,2163.62,0.01986,1,1,7e-05,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,2265.61,0.02101,1,1,0.0002,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
