epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,5331.3,0.01225,1,1,1e-05,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5437.25,0.0105,1,1,1e-05,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5542.59,0.01435,1,1,1e-05,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5648.31,0.01063,1,1,1e-05,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5753.76,0.01125,1,1,1e-05,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5858.86,0.01319,1,1,2e-05,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5964.88,0.01159,1,1,2e-05,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6069.57,0.00981,1,1,2e-05,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6175.48,0.0122,1,1,3e-05,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6280.52,0.0111,1,1,3e-05,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6386.03,0.00917,1,1,3e-05,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6491.11,0.01039,1,1,3e-05,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6598.08,0.0094,1,1,4e-05,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6703.37,0.00988,1,1,4e-05,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6808.11,0.00773,1,1,4e-05,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6913.3,0.00849,1,1,5e-05,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7018.41,0.00879,1,1,5e-05,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7123.94,0.00779,1,1,6e-05,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,7229.05,0.00721,1,1,7e-05,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7334.09,0.00697,1,1,8e-05,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7438.76,0.00824,1,1,0.0001,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7543.22,0.00609,1,1,0.00012,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7648.37,0.00838,1,1,0.00012,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7752.95,0.00787,1,1,0.00012,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7858.28,0.00618,1,1,0.00012,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7962.98,0.0059,1,1,0.00012,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8068.13,0.00563,1,1,0.00011,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8172.47,0.00568,1,1,0.0001,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8277.13,0.00588,1,1,9e-05,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8382.31,0.0059,1,1,8e-05,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,8486.93,0.00351,1,1,7e-05,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,8592.32,0.00395,1,1,6e-05,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,8697.41,0.00429,1,1,5e-05,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,8802.85,0.00393,1,1,5e-05,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,8907.1,0.00416,1,1,5e-05,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9011.72,0.00456,1,1,4e-05,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,9116.32,0.0037,1,1,4e-05,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,9221.17,0.00368,1,1,4e-05,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,9326.95,0.0043,1,1,4e-05,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,9431.32,0.00295,1,1,5e-05,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9536.57,0.00191,1,1,4e-05,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9677.23,0.00256,1,1,4e-05,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9781.71,0.00202,1,1,4e-05,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9884.67,0.00167,1,1,5e-05,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9988.15,0.0019,1,1,4e-05,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,10091.4,0.00194,1,1,4e-05,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,10194.7,0.002,1,1,4e-05,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10298,0.00091,1,1,4e-05,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10400.6,0.00135,1,1,4e-05,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10504.1,0.0014,1,1,5e-05,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10606.6,0.0015,1,1,5e-05,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
